country,decresed,same,increased
China,49,30,21
Kenya,37,8,55
Peru,36,28,36
India,35,24,41
Senegal,35,14,51
Indonesia,31,25,44
Sweden,30,31,39
Nigeria,25,11,64
Poland,24,37,39
Brazil,21,28,51
Great Britain,21,36,43
Australia,19,38,43
Canada,17,35,48
South Africa,16,16,68
South Korea,15,47,38
United States,15,34,51
Saudi Arabia,14,30,56
Turkey,14,22,64
Belgium,12,30,58
Russia,12,23,65
Germany,11,26,63
Mexico,11,22,67
Spain,11,33,56
Argentina,9,24,67
France,9,23,68
Hungary,9,23,68
Italy,9,31,60
Japan,9,59,32
